,contributor,nb_wf,list_wf
984,damjanaram,1,{'nextflow-io/nf-hack18'}
985,sawibo,1,{'UMCUGenetics/NextflowModules'}
986,GuillaumeTh,1,{'scilus/tractoflow'}
988,yuxuth,1,{'jianhong/nf-core-hicar'}
939,alexa-salsbury,1,{'NCBI-Codeathons/lung-rna-seq'}
989,mdeloger,1,{'bioinfo-pf-curie/annotationMaker'}
991,harleenduggal,1,{'harleenduggal/NEXTFLOW-fastqc'}
992,luissian,1,{'luissian/nf-core-assemblybacterias'}
993,marissaDubbelaar,1,{'nf-core/epitopeprediction'}
995,Navrique,1,{'Navrique/ANAPURNA-seq_old'}
996,MJDelas,1,{'luslab/briscoe-nf-tobias'}
997,Leon-Bichmann,1,{'Leon-Bichmann/diaproteomics'}
998,maxemil,1,{'maxemil/PhyloMagnet'}
999,alexandrebouchard,1,{'UBC-Stat-ML/humi2'}
975,alperyilmaz,1,{'alperyilmaz/nextflow-rnaseq'}
974,AndreaGuarracino,1,{'subwaystation/pangenome'}
973,Crone0610,1,{'Crone0610/nf-core-refcaller'}
970,misssoft,1,{'tiwarialok/new-rnaseq'}
941,stjacqrm,1,{'stjacqrm/berrywood'}
943,leiendeckerlu,1,{'ObenaufLab/sv-calling-nf'}
945,cbirbes,1,{'cbirbes/NextFlowPipeline'}
946,bioinformaticscloudhk,1,{'bioinformaticsclouds/nextflow'}
948,bewt85,1,{'nf-core/bacass'}
949,ortzf,1,{'vibbits/NextFlow_pipelines'}
951,jeantristanb,1,{'jeantristanb/h3abionetimp_spezone'}
953,davepallot,1,{'ASKAP-EMUCat/emucat_workflows'}
954,nanjalaruth,1,{'nanjalaruth/HLA-typing'}
957,mdesco,1,{'scilus/tractoflow'}
959,yuantianhpc,1,{'h3abionet/HPCBio-Refgraph_pipeline'}
960,abner24,1,{'abner24/AbinitioTraining'}
961,noamteyssier,1,{'noamteyssier/nextflow_pipelines'}
962,keng404,1,{'keng404/nextflow_test'}
963,IngoMue,1,{'IngoMue/nf-umap'}
964,tranwin,1,{'tranwin/nextflow-rnaseq'}
966,kjsanger,1,{'connor-lab/ncov2019-artic-nf'}
968,DimmestP,1,{'DimmestP/nextflow_paired_reads_pipeline'}
969,samirelanduk,1,{'goodwright/imaps-nf'}
1000,garf0012,1,{'garfinjm/legsta-nf'}
1002,jongtaek-kim,1,{'GMS6804-master/Sarek'}
1004,genericdata,1,{'gencorefacility/variant-calling-pipeline-gatk4'}
1042,R-Cardenas,1,{'R-Cardenas/nextflow_pipelines'}
1045,amazon-auto,1,{'aws-samples/aws-gatk-recipe-nextflow-pipeline'}
1047,lmfaber,1,{'hoelzer-lab/treat'}
1048,BrianReevz,1,{'BrianReevz/GoogleCloudLifeSciSeq'}
1049,sghurst,1,{'fmalmeida/bacannot'}
1050,abyssum,1,{'icbi-lab/nextNEOpi'}
1052,maelyg,1,{'eresearchqut/VirReport'}
1058,tskir,1,{'EBIvariation/variant-remapping'}
1059,espelpz,1,{'espelpz/genebygenebact'}
1061,agower,1,{'compbiomed/RNA_Seq'}
1062,stevin-wilson,1,{'nf-core/viralrecon'}
1063,lizheng141026,1,{'likelet/MesKit'}
1064,Rhine-cats,1,{'KlausVG/reproHack'}
1067,molecules,1,{'nextflow-io/rnaseq-nf'}
1068,kaizhang,1,{'kaizhang/scATAC-benchmark'}
1070,AJHodgkinson,1,{'anna-saukkonen/PAC'}
1072,mult1fractal,1,{'replikation/docker_pipelines'}
1073,marcusrussi,1,{'covidestim/dailyFlow'}
1074,JamesChoi94,1,{'JamesChoi94/LipidModule'}
1076,hclimente,1,{'hclimente/gwas-tools'}
1044,aivo0,1,{'taltechnlp/est-asr-pipeline'}
1038,oalmelid,1,{'oalmelid/lift-over-nf'}
1005,fullerharrison,1,{'fullerharrison/afs505_u3_project'}
1037,laurabiggins,1,{'s-andrews/nextflow_pipelines'}
1006,garfinjm,1,{'garfinjm/legsta-nf'}
1007,vadimzalunin,1,{'NCBI-Hackathons/Nasty_Metagenomes'}
1008,wjv,1,{'mpieva/quicksand'}
1010,dladd,1,{'nf-core/cutandrun'}
1012,marcocrotti,1,{'marcocrotti/radseq-processing-nf'}
1013,sysbiocoder,1,{'nf-core/modules'}
1016,vivianepasteau,1,{'Irvibena/Groupe10_Hackaton'}
1017,lakinsm,1,{'lakinsm/bear-wgs'}
1018,nidhi12k,1,{'tmc-hematopath/smMIPS-Detection-Pipeline'}
1019,alex-botzki,1,{'vibbits/rnaseq-editing'}
1023,ielis,1,{'ielis/nextflow-example'}
1024,RVanDamme,1,{'RVanDamme/MUFFIN'}
1026,cjjossart,1,{'CDCgov/mycosnp-nf'}
1027,allyhawkins,1,{'AlexsLemonade/scpca-nf'}
1029,LehmannN,1,{'LehmannN/scAnnotatiONT'}
1030,MrMarkW,1,{'MrMarkW/nf-core-readtwoalign'}
1031,jhagberg,1,{'sickle-in-africa/saw.structural-variants'}
1032,thomasyu888,1,{'Sage-Bionetworks-Challenges/nf-model2data'}
1033,aarandad,1,{'aarandad/demuxer'}
940,heathervant,1,{'awilson0/bugseq-pipeline'}
938,CGUTA,1,{'CGUTA/hugeheat'}
783,genomicsITER,1,{'genomicsITER/NanoCLUST'}
841,mtmcgowan,1,{'SystemsGenetics/transcript_corral'}
830,veitveit,1,{'veitveit/nf-core-wombatp'}
831,Ichaffurin,1,{'Ilchaffurin/Pipeline-RBMS'}
832,mikecormier,1,{'mikecormier/neoseq-seqcover-nf'}
834,peikovakate,1,{'peikovakate/fastq'}
836,JingQiChong,1,{'JingQiChong/nf_CRACpipeline'}
837,bartcharbon,1,{'bartcharbon/nextflowVipPoc'}
838,Ramanandan,1,{'Ramanandan/rnaseq_nextflow'}
839,WhoisDonlee,1,{'ErasmusMC-Bioinformatics/NextFlow-VC-pipeline'}
840,kkowalden,1,{'h3abionet/HPCBio-Refgraph_pipeline'}
842,piotr-faba-ardigen,1,{'nf-core/modules'}
937,jmarvil,1,{'ASKAP-EMUCat/emucat_workflows'}
843,tlawrence3,1,{'tlawrence3/covid_nextflow'}
844,bjohnnyd,1,{'nf-core/modules'}
845,davismcc,1,{'davismcc/nf-hipsci-fibro'}
846,abenjak,1,{'icgc-argo-workflows/icgc-argo-sv-copy-number'}
847,brunoand,1,{'brunoand/NMP'}
848,Linxian0816,1,{'AnneCharlotteMichel/Reprohackathon'}
849,fbeghini,1,{'seandavi/curatedMetagenomicsNextflow'}
850,ray1919,1,{'ray1919/lRNA-Seq'}
851,BBQuercus,1,{'episkadlo/anglerFISH'}
828,i-pletenev,1,{'nf-core/modules'}
827,lassefolkersen,1,{'nf-core/modules'}
822,msmallegan,1,{'msmallegan/rmghc-workshop-19'}
821,simozhou,1,{'simozhou/epi-awesome'}
785,leomrtns,1,{'food-safety-bioinformatics-hackathon/benchmarking-refseq'}
786,sarseq,1,{'sarseq/sarseq2'}
787,Eugloh,1,{'Eugloh/AmpliconPCR-nf'}
788,BaronKoy,1,{'EBIvariation/variant-remapping'}
791,GCJMackenzie,1,{'nf-core/modules'}
794,manoj039,1,{'tiwarialok/new-rnaseq'}
799,sheenamt,1,{'sheenamt/hrd_pipeline'}
800,arzwa,1,{'arzwa/whaleprep'}
803,samuell,1,{'sickle-in-africa/saw.structural-variants'}
804,xmzhuo,1,{'xmzhuo/fastp-nf'}
805,LeuThrAsp,1,{'StaPH-B/mycosnp'}
806,Bhagyshree,1,{'Bhagyshree/bedtools_NF'}
809,kazumaxneo,1,{'kazumaxneo/Nextflow_test_code'}
813,abeaude,1,{'hugovaysset/ReproHackaton'}
815,frheault,1,{'scilus/tractoflow'}
816,bhagesh-codebeast,1,{'bhagesh-codebeast/nextflowdualrnaseq'}
817,TGotwig,1,{'bactopia/bactopia'}
819,duanjunhyq,1,{'cidgoh/cidgoh_qc'}
820,emmakwiener,1,{'emmakwiener/PhD-CNV-Analysis'}
853,npacc,1,{'npacc/HIV-Drug-Resistance'}
854,torchij,1,{'torchij/nextflow'}
856,mgcam,1,{'connor-lab/ncov2019-artic-nf'}
900,twesigomwedavid,1,{'twesigomwedavid/open-science'}
903,DevNambi,1,{'FredHutch/cellprofiler-batch-nf'}
904,Paulrkcruz,1,{'Paul-rk-cruz/HRV_Pipeline'}
905,aishwaryagogate,1,{'bbi-lab/bbi-sci'}
906,Remi-Montagne,1,{'bioinfo-pf-curie/annotationMaker'}
908,SPPearce,1,{'nf-core/modules'}
910,dkj,1,{'connor-lab/ncov2019-artic-nf'}
918,sb10,1,{'connor-lab/ncov2019-artic-nf'}
920,s-andrews,1,{'s-andrews/nextflow_pipelines'}
921,ashildv,1,{'nf-core/eager'}
922,naliebe,1,{'vpeddu/Slowqc'}
923,aghozlane,1,{'QuentinLetourneur/Let-it-bin'}
924,RichardCorbett,1,{'bcgsc/TMBur'}
925,Diren52,1,{'Diren52/ExpansionHunter-nf'}
927,dmalzl,1,{'PavriLab/repliseq-nf'}
928,ssnnm,1,{'ConesaLab/TCR_nextflow'}
930,plateau-gao,1,{'plateau-gao/CUTnTag'}
931,StongeEtienne,1,{'scilus/tractoflow-pve'}
932,TDMedina,1,{'TDMedina/Nextflow_test'}
935,xlinxlin,1,{'nf-core/bacass'}
901,RHReynolds,1,{'nf-core/modules'}
895,lsuhpchelp,1,{'chenyuetian/nextflow'}
861,anu9109,1,{'anu9109/nf'}
892,ksaunders73,1,{'NCBI-Codeathons/lung-rna-seq'}
862,MohammadSorkhian,1,{'BioinformaticsLabAtMUN/sRNACharP'}
865,raonyguimaraes,1,{'raonyguimaraes/nextflow-hello'}
866,hugovaysset,1,{'hugovaysset/ReproHackaton'}
867,tristanpwdennis,1,{'tristanpwdennis/basicwgs'}
871,pettestor,1,{'Clinical-Genomics-Lund/nextflow_oxfordnanopore_sv'}
872,sandrocarollo,1,{'icbi-lab/smartseq2_pipeline'}
873,Paul-rk-cruz,1,{'Paul-rk-cruz/HRV_Pipeline'}
875,xec-cm,1,{'MicrobialGenomics/TTrichiura_Tubulin'}
876,SarahMaman,1,{'SarahMaman/NextflowRNAseq'}
878,slsevilla,1,{'NCBI-Hackathons/Nasty_Metagenomes'}
879,oskarvid,1,{'oskarvid/nextflow-GermlineVarCall'}
880,hustal,1,{'hustal/rnasequmi'}
881,dstrib,1,{'RenneLab/CnR-flow'}
882,morpholino,1,{'rastiks/viralrecon'}
883,bluegenes,1,{'czbiohub/nf-predictorthologs'}
884,ErikDanielsson,1,{'nf-core/smrnaseq'}
886,KrisDavie,1,{'vib-singlecell-nf/vsn-pipelines'}
888,RemyNicolle,1,{'RemyNicolle/DummyNF'}
889,plarosa,1,{'bioinfo-pf-curie/geniac-demo-dsl2'}
666,Solyris83,1,{'Solyris83/xPORE_nextflow'}
539,druvus,1,{'genomicsITER/NanoCLUST'}
664,Haelmorn,1,{'DEMBresearch/rnaseq_qc'}
228,aneichyk,1,{'independentdatalab/nf-riboseq'}
208,rfara,1,{'goodwright/imaps-nf'}
209,thibaultdestanque,1,{'thibaultdestanque/RNA_seq_Nextflow'}
213,fullama,1,{'nf-core/modules'}
217,vmurigneu,1,{'Vikash84/micropipe'}
219,cmdoret,1,{'cmdoret/vapormap'}
220,alexpiper,1,{'alexpiper/piperline'}
221,espirado,1,{'espirado/lncrna_annotation_nextflow'}
223,luomei308,1,{'luomei308/RNA_Seq'}
225,brgew,1,{'bbi-lab/bbi-sci'}
227,shaunchuah,1,{'shaunchuah/cfdna_nextflow'}
229,rutendos,1,{'Dowell-Lab/Bidirectional-Flow'}
206,wathom,1,{'matthiasheinig/scworkflows'}
232,embatty,1,{'connor-lab/ncov2019-artic-nf'}
233,DossenaCarolina,1,{'DossenaCarolina/TF_footprint'}
235,Akazhiel,1,{'Akazhiel/NeoPred-NF'}
236,vntasis,1,{'vntasis/stan-nf'}
237,GhadaNOUAIRIA,1,{'erikrikarddaniel/pfitmap-nextflow'}
238,glmanhtu,1,{'glmanhtu/nf-workflows'}
239,BHNtools,1,{'NajlaBioinfo/hisq_paired_rnasq'}
242,sarahdrury,1,{'gavinf97/groupnextflow'}
243,Ed-G655,1,{'Ed-G655/nf-miRNA-SNPs-classify.nf'}
244,mal2017,1,{'mal2017/sfr'}
207,idfarbanecha,1,{'metagenlab/nanopore'}
205,yqshao,1,{'yqshao/tips'}
246,cometsong,1,{'cometsong/ATAC_Seq_nxf'}
185,Thatguy027,1,{'Thatguy027/CePopulationGenetics-nf'}
169,Landris18,1,{'aduvermy/quantitative_nucleosome_analysis'}
172,clemgoub,1,{'clemgoub/dnaPipeTE2'}
173,FirasSadiyah,1,{'FirasSadiyah/NF-Workflow'}
174,IdoBar,1,{'nf-core/eager'}
175,AnneCharlotteMichel,1,{'AnneCharlotteMichel/Reprohackathon'}
177,chenjy327,1,{'likelet/MesKit'}
179,dzerbino,1,{'eQTL-Catalogue/qtlmap'}
181,gnetsanet,1,{'SJLeeY10/crispedit'}
182,mwalzer,1,{'bigbio/nf-workflows'}
183,fbdtemme,1,{'nf-core/modules'}
186,mistyskye,1,{'EBIvariation/variant-remapping'}
204,QuentinLetourneur,1,{'QuentinLetourneur/Let-it-bin'}
188,MozesBlom,1,{'MozesBlom/nf-polish'}
192,lucky-nj,1,{'pandora414/dna'}
194,klamkiew,1,{'klamkiew/viralclust'}
195,kateeasoncrukci,1,{'icgc-argo-workflows/icgc-argo-sv-copy-number'}
196,nriddiford,1,{'nriddiford/nf-core-lohcator'}
197,LucileSol,1,{'NBISweden/pipelines-nextflow'}
199,MatteoSchiavinato,1,{'MatteoSchiavinato/MAG_recovery'}
200,DataSpott,1,{'replikation/poreCov'}
201,ericaenjoy3,1,{'ericaenjoy3/rna_nf'}
202,chenyuetian,1,{'chenyuetian/nextflow'}
245,jbelyeu,1,{'jbelyeu/sv_calling_nf'}
248,james-dtg,1,{'jdurbin/nf'}
334,sima-r,1,{'nf-core/modules'}
314,Aveglia,1,{'Aveglia/vAMPirus'}
299,bioShaun,1,{'bioShaun/xms-rnaseq-nf'}
300,perllb,1,{'perllb/ctg-exome'}
301,DLBPointon,1,{'DLBPointon/annotation-pipeline-nextflow'}
303,fabubaker,1,{'YounisLab/rnaseq-pipeline'}
304,manabuishii,1,{'rikenbit/RamDAQ-prototype'}
305,aalinebini,1,{'aalinebini/ampliconseq'}
306,mjcipriano,1,{'nf-core/modules'}
307,mjakobs,1,{'nf-core/modules'}
311,ArnaudM22,1,{'KlausVG/reproHack'}
312,sruthipsuresh,1,{'nf-core/modules'}
316,CJREID,1,{'CJREID/snplord-nf'}
296,aidaanva,1,{'nf-core/eager'}
317,nodrogluap,1,{'connor-lab/ncov2019-artic-nf'}
319,keoughkath,1,{'keoughkath/AcceleratedRegionsNF'}
320,MorganePhilipp,1,{'hugovaysset/ReproHackaton'}
321,kevinpryan,1,{'kevinpryan/rtp_workshop'}
322,pontus,1,{'NBISweden/pipelines-nextflow'}
324,esteinig,1,{'np-core/modules'}
325,bede,1,{'oxfordmmm/SARS-CoV2_workflows'}
327,markgene,1,{'markgene/cutnrun'}
328,chaeyoung-lee,1,{'chaeyoung-lee/gcp_genomics_api'}
332,kcleal,1,{'brentp/rare-disease-wf'}
298,aaronmck,1,{'mckennalab/NextLineage'}
294,rynge,1,{'rynge/searchsra-nextflow'}
249,bingzhang16,1,{'bzhanglab/neoflow'}
268,adamd3,1,{'adamd3/StrainSeq'}
250,jonbra,1,{'jonbra/nf-desensitize'}
251,MicrobialGenomics,1,{'MicrobialGenomics/TTrichiura_Tubulin'}
252,Danilo2771,1,{'nf-core/modules'}
255,santiagorevale,1,{'nf-core/modules'}
259,jimmybgammyknee,1,{'sagc-bioinformatics/modules'}
260,GFrosi,1,{'GFrosi/Nextflow-BEDtoBAM-IndexBAM'}
261,episkadlo,1,{'episkadlo/anglerFISH'}
263,kkuret,1,{'luslab/nf-clip'}
266,hpliner,1,{'bbi-lab/bbi-sci'}
267,drice-codeathons,1,{'NCBI-Codeathons/lung-rna-seq'}
269,JIAYING2021,1,{'JIAYING2021/Hackathon021'}
292,tcezard,1,{'EBIvariation/variant-remapping'}
271,madhyastha,1,{'madhyastha/gatk-nextflow-sample'}
272,xmeng,1,{'FischbachLab/nf-reads-profiler'}
275,ChristinaVasil,1,{'nebfield/snpQT'}
278,tamuanand,1,{'nf-core/modules'}
279,dweemx,1,{'vib-singlecell-nf/vsn-pipelines'}
281,salzmanlab,1,{'salzmanlab/ReadZS'}
282,Foxcapades,1,{'VEuPathDB/proteinToGenomeAlignment'}
283,exsquire,1,{'exsquire/diminion'}
287,ChristopherBarrington,1,{'crickbabs/BABS-RNASeq'}
288,mderan-da,1,{'aws-samples/aws-gatk-recipe-nextflow-pipeline'}
168,jtk622,1,{'GMS6804-master/Sarek'}
167,savytskanatalia,1,{'savytskanatalia/STARmap'}
166,nilesh-tawari-elanco,1,{'nilesh-tawari/blast-pipeline'}
57,cyrildw,1,{'cyrildw/nf-MappingOrMerging'}
44,naveen584,1,{'naveen584/nextflow-variantcalling'}
45,aleksandrabliznina,1,{'nf-core/modules'}
46,wheelern,1,{'zamanianlab/RNAseq-VC-nf'}
48,ZIWEI-WONG,1,{'likelet/MesKit'}
50,Huisquare,1,{'Huisquare/nfdv'}
51,pblaney,1,{'pblaney/mgp1000'}
52,darcyabjones,1,{'darcyabjones/panann'}
53,alexharston,1,{'goodwright/imaps-nf'}
55,SusiJo,1,{'nf-core/modules'}
56,KlausVG,1,{'KlausVG/reproHack'}
59,oisinmccaffrey,1,{'oisinmccaffrey/clipseq.nextflow'}
41,kmurat1,1,{'nf-core/modules'}
60,chrisjackson-pellicle,1,{'chrisjackson-pellicle/HybPiper-RBGV'}
61,DaneVass,1,{'DaneVass/BARtab'}
63,gtuckerkellogg,1,{'GTK-lab/nextflow-awsbatch'}
65,anvlasova,1,{'CRG-CNAG/CalliNGS-NF'}
68,jgallowa07,1,{'jgallowa07/Nextflow-Example'}
70,mak2508,1,{'YounisLab/rnaseq-pipeline'}
72,Chiamh,1,{'Chiamh/meta-omics-nf'}
76,AlexVCaron,1,{'AlexVCaron/mrHARDIflow'}
77,elimoss,1,{'bhattlab/wits_workshop'}
78,daviesdrew,1,{'daviesdrew/variantcalling'}
43,nicni16,1,{'nicni16/nfcore-maxquant'}
39,mcamarad,1,{'lifebit-ai/phewas'}
164,gaotian52,1,{'AndersenLab/PEmRNA-seq-nf'}
17,alvinwt,1,{'icgc-argo-workflows/icgc-argo-sv-copy-number'}
2,KochTobi,1,{'nf-core/hlatyping'}
3,khigashi1987,1,{'khigashi1987/CUTRUN_Nextflow'}
4,DarianHole,1,{'phac-nml/ncov-dehoster'}
5,elyadlezmi,1,{'elyadlezmi/RNA2CM'}
8,monikaBrandt,1,{'monikaBrandt/nf-core-mynewpipeline'}
9,jbrestel,1,{'VEuPathDB/proteinToGenomeAlignment'}
11,DCGenomics,1,{'NCBI-Hackathons/Nasty_Metagenomes'}
12,idot,1,{'csf-ngs/controldna'}
14,chrstphdm,1,{'chrstphdm/nxf_course'}
16,gsteinhardt,1,{'GoalConsortium/goal_misc'}
18,lukasjelonek,1,{'lukasjelonek/sequencing-technology-usage-diagram'}
36,adrienlemeur,1,{'Thomas-LeCoent/reprohackathon-bioinfo'}
21,ChristopherBrunner,1,{'ChristopherBrunner/sRNAFinder'}
22,ning-y,1,{'GTK-lab/nextflow-awsbatch'}
23,ssun1116,1,{'ssun1116/meripseqpipe'}
27,sirselim,1,{'nf-core/smrnaseq'}
28,Ninomoriaty,1,{'likelet/MesKit'}
29,cjw85,1,{'epi2me-labs/wf-transcript-target'}
30,mzager,1,{'FredHutch/dvc-pipelines'}
32,alex-aug,1,{'zenomeplatform/nf-germline-mapping'}
33,tiwarialok,1,{'tiwarialok/new-rnaseq'}
35,Juke34,1,{'NBISweden/pipelines-nextflow'}
80,azure-pipelines[bot],1,{'gis-rpd/rpd-sg10k-grch38-gatk4-gvcf-freebayes-vcf'}
82,Emilyaoc,1,{'Emilyaoc/Nextflow-selection-workflow'}
86,Takadonet,1,{'phac-nml/ncov-dehoster'}
142,NajlaBioinfo,1,{'NajlaBioinfo/hisq_paired_rnasq'}
125,nimbusFarzaneh,1,{'BCCDC-PHL/troika-nf'}
126,dgg32,1,{'dgg32/metagenome-binning-nextflow'}
129,ashdederich,1,{'ashdederich/Symbiont_genomeAssembly'}
131,mzamanian,1,{'zamanianlab/Core_RNAseq-nf'}
132,Thadouard,1,{'AnneCharlotteMichel/Reprohackathon'}
133,Rahul1711arora,1,{'luslab/nf-clip'}
136,Bontempogianpaolo1,1,{'federicacitarrella/FusionFlow'}
139,jaesvi,1,{'icgc-argo-workflows/icgc-argo-sv-copy-number'}
140,silastittes,1,{'silastittes/panand_structure'}
141,RitzelC,1,{'TRON-Bioinformatics/tronflow-mutect2'}
145,DSchreyer,1,{'Jojanneke-S/PRECODE'}
89,clemensma,1,{'clemensma/symbiontDivider'}
146,jhayer,1,{'HadrienG/nanoflow'}
152,michieitel,1,{'PalMuc/TransPi'}
153,danrlu,1,{'czbiohub/sc2-illumina-pipeline'}
154,jermth,1,{'jermth/hls-workshop'}
155,jordeu,1,{'nf-core/cutandrun'}
157,ckandoth,1,{'GoalConsortium/goal_misc'}
160,FalkoHof,1,{'Gregor-Mendel-Institute/isoseq3'}
161,cagescudero,1,{'PalMuc/TransPi'}
162,bfssi-forest-dussault,1,{'BFSSI-Bioinformatics-Lab/bfssi-assembly-pipeline'}
163,cying111,1,{'nf-core/nanoseq'}
124,christophstach,1,{'christophstach/live-pipeline-nextflow'}
123,hynesgra,1,{'msmallegan/rmghc-workshop-19'}
122,TrisKast,1,{'nf-core/cageseq'}
120,Jani-94,1,{'FAANG/GSM-pipeline'}
91,federicacitarrella,1,{'federicacitarrella/FusionFlow'}
92,PaulusBoskabouter,1,{'PaulusBoskabouter/BasicPhylo'}
93,JasperO98,1,{'ErasmusMC-Bioinformatics/NextFlow-VC-pipeline'}
94,JWDebler,1,{'JWDebler/nf-assembly'}
96,redst4r,1,{'redst4r/nf-10x-kallisto'}
99,trambau,1,{'Thomas-LeCoent/reprohackathon-bioinfo'}
101,jaserud,1,{'icgc-argo-workflows/nextflow-data-processing-utility-tools'}
102,ChadFibke,1,{'ChadFibke/germ'}
103,darlenewagner,1,{'darlenewagner/nextflowViral'}
104,mclaugsf,1,{'mclaugsf/seqtk-nextflow'}
105,LiuJie1117,1,{'likelet/MesKit'}
106,SergFern,1,{'SergFern/Variant_Calling'}
108,jasteen,1,{'SoutheyLab/nextflow-workflows'}
109,rastiks,1,{'rastiks/viralrecon'}
111,Erkison,1,{'nf-core/modules'}
113,paulu-aws,1,{'goldfinchbio/sentieon-nextflow'}
114,dengshuang0116,1,{'likelet/circPipe'}
115,asl,1,{'ablab/graphamr'}
116,ehatch9,1,{'FredHutch/cellprofiler-batch-nf'}
117,chbk,1,{'FAANG/analysis-TAGADA'}
118,Mark-S-Hill,1,{'nf-core/modules'}
333,jrdemasi,1,{'msmallegan/rmghc-workshop-19'}
335,BeibeiDu,1,{'luslab/nf-clip'}
663,chadisaad,1,{'nf-core/rnafusion'}
567,eameyer,1,{'salzmanlab/ReadZS'}
552,abotzki,1,{'vibbits/rnaseq-editing'}
555,viklund,1,{'sickle-in-africa/saw.structural-variants'}
556,clairealix,1,{'lifebit-ai/ukbb-tutorial'}
559,laure182,1,{'ifremer-bioinformatics/samba'}
560,ojziff,1,{'luslab/nf-clip'}
561,lauramble,1,{'lauramble/rnaseq-vizfada'}
563,ghuls,1,{'vib-singlecell-nf/vsn-pipelines'}
564,Reda94,1,{'Reda94/GDC-RNAseq-pipeline'}
565,trickytank,1,{'trickytank/rna_circular-nf'}
566,zsteve,1,{'zsteve/nf-ATAC'}
568,nickhsmith,1,{'nf-core/modules'}
549,bibo3,1,{'bibo3/popbom'}
569,FredDodd6,1,{'connor-lab/ncov2019-artic-nf'}
570,weiqijin,1,{'likelet/circPipe'}
572,cavei,1,{'icbi-lab/nextNEOpi'}
574,beise93,1,{'beise93/afs505_u3'}
577,ppoulin91,1,{'scilus/tractoflow'}
578,burkej1,1,{'SoutheyLab/nextflow-workflows'}
579,sofstam,1,{'nf-core/modules'}
580,dangeles,1,{'egenesis/WF-NF-rnassembly'}
581,kenyonalexander-alloy,1,{'ChadFibke/germ'}
582,znestor,1,{'znestor/chainsaw-test'}
550,MoritzBauer,1,{'biocorecrg/allele_specific_RNAseq'}
548,clairecoleman1,1,{'clairecoleman1/clipseq1'}
584,lorentzben,1,{'lorentzben/automate_16_nf'}
526,lmurba,1,{'TheJacksonLaboratory/splicing-pipelines-nf'}
504,mciprianoCDC,1,{'CDCgov/mycosnp-nf'}
505,Wangxin555,1,{'likelet/MesKit'}
506,jyguo,1,{'jyguo/optitype'}
509,sureshhewabi,1,{'bigbio/nf-workflows'}
513,transmute-ngs,1,{'finnor/sample-renamer'}
514,abremges,1,{'CAMI-challenge/CAMITAX'}
517,propan2one,1,{'propan2one/variantcallerbench'}
518,andreas-wilm,1,{'gis-rpd/rpd-sg10k-grch38-gatk4-gvcf-freebayes-vcf'}
519,gaow,1,{'gaow/fastqc-nf'}
524,markxiao,1,{'markxiao/PRS-dev'}
527,royfrancis,1,{'NBISweden/pipelines-nextflow'}
547,jackkamm,1,{'czbiohub/sc2-illumina-pipeline'}
528,philDTU,1,{'philDTU/plasmidPublication'}
532,evdomene,1,{'evdomene/brbseqnf'}
533,abumadsen,1,{'Emilyaoc/Nextflow-selection-workflow'}
534,Oliver-Tautz,1,{'Oliver-Tautz/helloNextflow'}
535,asthara10,1,{'asthara10/insertseq'}
537,arnaudbore,1,{'scilus/tractoflow'}
1,femiliani,1,{'mckennalab/NextLineage'}
540,ashleethomson,1,{'sagc-bioinformatics/modules'}
541,multimeric,1,{'multimeric/AwsNextflowBug'}
546,asafpr,1,{'nf-core/ampliseq'}
583,huhehaotecrystal,1,{'xmuyulab/scRNAseq_pipelines'}
585,katharily,1,{'katharily/pe_stacks_pipeline'}
336,austinreidmanny,1,{'austinreidmanny/raven-nf'}
644,lcabus-flomics,1,{'nf-core/smrnaseq'}
628,HeshamElAbd,1,{'HeshamElAbd/nf-core-deviptcore'}
630,skiniry,1,{'JackCurragh/riboseq_data_processing'}
631,harryscholes,1,{'harryscholes/giga'}
632,giusmar,1,{'RosaDeSa/RNAseq_dsl2'}
633,jwokaty,1,{'seandavi/curatedMetagenomicsNextflow'}
636,sdomanskyi,1,{'nf-core/spatialtranscriptomics'}
637,yocra3,1,{'nf-core/modules'}
639,benpastore,1,{'benpastore/nf-smrna-seq'}
640,jlboat,1,{'jlboat/NextflowScripts'}
642,tamburinif,1,{'bhattlab/wits_workshop'}
645,mjsteinbaugh,1,{'nf-core/smrnaseq'}
626,Channing-Zeng,1,{'Channing-Zeng/metagenomics-nf'}
646,bcantarel,1,{'GoalConsortium/goal_misc'}
648,lDesiree,1,{'icgc-argo-workflows/icgc-argo-sv-copy-number'}
650,Laura-Gomez,1,{'INMEGEN/conservationLandscape'}
651,jtmccr1,1,{'jtmccr1/bft-nf'}
652,andresfsilva,1,{'EBIvariation/variant-remapping'}
655,jkirangw,1,{'jkirangw/WORMpipe'}
657,YanFangBio,1,{'NCBI-Codeathons/lung-rna-seq'}
659,Accio,1,{'bactopia/bactopia'}
661,MDegener,1,{'MDegener/RNAseq-pipeline'}
662,ElisabetThomsen,1,{'fargenfo/linkseq'}
627,jdurbin,1,{'jdurbin/nf'}
623,TCLamnidis,1,{'nf-core/eager'}
588,fethalen,1,{'ThiloSchulze/eukaryotic-genome-assembly'}
604,mattsoup,1,{'nebiolabs/EM-seq'}
589,chenthorn,1,{'zamanianlab/Core_RNAseq-nf'}
590,priyanka-surana,1,{'sanger-tol/readmapping'}
592,turrisita,1,{'AGROSAVIABIOUNIT/MT'}
594,lmyiing,1,{'xmuyulab/scRNAseq_pipelines'}
